Estación:       HERMOSILLO,  SON
Operada por:    SMN ESIME
Longitud:       110°55'49"  Longitud: 29°04'42"  Altitud: 215

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RADSOL
01/02/2019 20:20         242         343        1.80        3.30        25.3          39       990.2         0.0       477.0
01/02/2019 20:30         218         323        1.50        4.00        25.2          39       989.9         0.0       402.0
01/02/2019 20:40         233         349        1.60        3.70        24.9          40       989.8         0.0       426.0
01/02/2019 20:50         258         328        1.60        3.40        24.8          40       989.7         0.0       299.0
01/02/2019 21:00         243         311        1.70        3.00        24.5          41       989.5         0.0       324.0
01/02/2019 21:10         153         323        1.10        3.00        25.8          38       989.4         0.0       458.0
01/02/2019 21:20         207           1        1.60        2.90        25.7          38       989.3         0.0       274.0
01/02/2019 21:30         270         332        1.70        3.50        24.6          40       989.2         0.0       269.0
01/02/2019 21:40         250         314        1.70        2.80        24.4          42       989.1         0.0       269.0
01/02/2019 21:50         261          40        1.20        2.70        24.7          41       989.1         0.0       269.0
01/02/2019 22:00         259         340        1.80        3.40        24.2          42       989.0         0.0       211.0
01/02/2019 22:10         276          77        1.40        2.80        24.3          41       989.0         0.0       218.0
01/02/2019 22:20         244          40        1.40        3.00        25.7          38       989.0         0.0       585.0
01/02/2019 22:30         238         306        2.60        4.90        26.4          35       989.0         0.0       465.0
01/02/2019 22:40         247         321        2.30        4.70        26.2          35       988.9         0.0       432.0
01/02/2019 22:50         262         323        2.50        4.80        26.1          36       988.9         0.0       438.0
01/02/2019 23:00         258         324        2.60        5.50        26.1          36       988.8         0.0       231.0
01/02/2019 23:10         242         294        2.40        5.10        25.5          38       988.7         0.0       336.0
01/02/2019 23:20         234         294        3.00        6.90        25.6          40       988.7         0.0       308.0
01/02/2019 23:30         247         295        4.20        7.60        24.5          44       988.8         0.0       259.0
01/02/2019 23:40         242         307        4.00        7.00        24.5          45       988.9         0.0       241.0
01/02/2019 23:50         251         301        3.50        7.00        24.4          45       989.0         0.0       192.0
02/02/2019 00:00         249         287        3.70        6.80        23.8          47       989.0         0.0       165.0
02/02/2019 00:10         248         292        3.80        6.70        23.4          48       989.1         0.0       136.0
02/02/2019 00:20         259         306        3.50        6.20        23.0          50       989.3         0.0       118.0
02/02/2019 00:30         263         305        3.40        6.70        22.8          51       989.4         0.0        78.0
02/02/2019 00:40         261         302        3.20        5.50        22.2          52       989.4         0.0        30.0
02/02/2019 00:50         251         302        2.50        5.40        21.6          55       989.3         0.0        11.0
02/02/2019 01:00         253         300        3.00        5.50        21.2          56       989.2         0.0         7.0
02/02/2019 01:10         255         289        3.20        5.40        20.9          57       989.4         0.0        -1.0
02/02/2019 01:20         258         294        3.60        7.10        20.6          57       989.6         0.0        -1.0
02/02/2019 01:30         262         312        3.30        6.30        20.2          57       989.8         0.0        -1.0
02/02/2019 01:40         260         296        2.90        6.50        20.0          57       990.0         0.0        -1.0
02/02/2019 01:50         262         305        3.10        5.80        19.8          57       990.2         0.0        -1.0
02/02/2019 02:00         259         299        3.10        5.80        19.6          58       990.2         0.0        -1.0
02/02/2019 02:10         260         290        3.40        6.80        19.3          57       990.6         0.0        -1.0
02/02/2019 02:20         259         298        3.00        6.10        19.2          57       990.9         0.0        -1.0
02/02/2019 02:30         262         293        3.20        5.70        19.0          57       990.9         0.0        -1.0
02/02/2019 02:40         263         300        3.00        5.50        18.8          57       990.8         0.0        -1.0
02/02/2019 02:50         262         314        2.10        4.00        18.6          58       991.0         0.0        -1.0
02/02/2019 03:00         267         303        2.20        3.70        18.5          58       991.1         0.0        -1.0
02/02/2019 03:10         267         309        2.10        3.80        18.5          58       991.1         0.0        -1.0
02/02/2019 03:20         262         308        2.10        4.10        18.5          58       991.1         0.0        -1.0
02/02/2019 03:30         257         298        2.20        4.40        18.5          58       991.2         0.0        -1.0
02/02/2019 03:40         253         294        2.00        3.90        18.4          58       991.1         0.0        -1.0
02/02/2019 03:50         242         304        1.60        2.80        18.3          58       990.6         0.0        -1.0
02/02/2019 04:00         276         325        1.30        2.40        18.1          60       990.9         0.0        -1.0
02/02/2019 04:10         300          87        0.80        1.80        17.9          60       991.0         0.0        -1.0
02/02/2019 04:20         280         347        0.70        1.70        17.6          61       991.0         0.0        -1.0
02/02/2019 04:30         276         319        0.80        1.40        17.3          63       991.3         0.0        -1.0
02/02/2019 04:40         255         313        0.90        1.60        17.0          65       991.3         0.0        -1.0
02/02/2019 04:50         295         353        0.70        1.20        16.5          67       991.3         0.0        -1.0
02/02/2019 05:00         315         346        0.70        1.00        16.1          69       991.3         0.0        -1.0
02/02/2019 05:10         294         332        0.70        1.00        15.9          70       991.5         0.0        -1.0
02/02/2019 05:20         307         332        0.70        1.00        15.7          71       991.5         0.0        -1.0
02/02/2019 05:30         293         316        0.90        1.30        15.8          71       991.7         0.0        -1.0
02/02/2019 05:40         284         322        0.90        1.40        15.8          71       991.9         0.0        -1.0
02/02/2019 05:50         290         342        0.70        1.40        15.7          71       991.9         0.0        -1.0
02/02/2019 06:00         303           2        0.70        1.30        15.7          71       991.9         0.0        -1.0
02/02/2019 06:10         270         331        0.80        1.70        15.9          71       991.8         0.0        -1.0
02/02/2019 06:20         301         337        0.80        1.20        16.0          69       991.6         0.0        -1.0
02/02/2019 06:30         297         330        0.90        1.50        15.9          69       991.6         0.0        -1.0
02/02/2019 06:40         318         358        0.70        1.20        16.0          68       991.6         0.0        -1.0
02/02/2019 06:50          43         120        1.30        3.10        15.9          69       991.8         0.0        -1.0
02/02/2019 07:00          35          94        2.00        3.20        15.5          71       991.8         0.0        -1.0
02/02/2019 07:10          35          80        1.70        3.20        15.1          73       991.7         0.0        -1.0
02/02/2019 07:20          36          70        1.80        2.90        15.1          73       991.7         0.0        -1.0
02/02/2019 07:30          53          99        1.50        2.40        15.2          73       991.5         0.0        -1.0
02/02/2019 07:40          59          95        1.50        2.10        15.2          73       991.7         0.0        -1.0
02/02/2019 07:50          69         117        0.90        1.50        15.2          73       991.6         0.0        -1.0
02/02/2019 08:00          71         113        1.20        2.00        15.2          73       991.4         0.0        -1.0
02/02/2019 08:10          67         108        1.10        1.80        15.0          74       991.5         0.0        -1.0
02/02/2019 08:20          74         139        0.70        1.40        14.9          75       991.5         0.0        -1.0
02/02/2019 08:30          83         232        0.80        1.70        14.8          76       991.5         0.0        -1.0
02/02/2019 08:40          69         136        1.50        2.20        14.8          75       991.2         0.0        -1.0
02/02/2019 08:50          57         101        1.40        2.00        14.8          75       991.3         0.0        -1.0
02/02/2019 09:00          65         123        1.40        2.10        14.9          75       991.3         0.0        -1.0
02/02/2019 09:10          93         155        0.90        2.10        14.4          76       991.2         0.0        -1.0
02/02/2019 09:20          76         136        1.40        2.30        14.4          77       991.1         0.0        -1.0
02/02/2019 09:30          98         145        1.30        2.50        14.1          77       991.1         0.0        -1.0
02/02/2019 09:40         112         148        1.30        2.10        13.8          78       991.0         0.0        -1.0
02/02/2019 09:50         102         136        1.30        2.20        13.5          79       990.8         0.0        -1.0
02/02/2019 10:00          98         149        1.30        2.20        13.4          79       990.9         0.0        -1.0
02/02/2019 10:10         111         182        0.90        1.90        13.3          80       991.1         0.0        -1.0
02/02/2019 10:20          94         179        1.00        1.60        13.4          79       991.1         0.0        -1.0
02/02/2019 10:30          89         129        1.20        2.20        13.5          78       991.0         0.0        -1.0
02/02/2019 10:40          85         131        1.70        2.80        13.5          78       990.8         0.0        -1.0
02/02/2019 10:50          93         138        1.30        2.40        13.5          78       990.8         0.0        -1.0
02/02/2019 11:00         104         141        1.20        2.10        13.5          78       990.8         0.0        -1.0
02/02/2019 11:10         105         165        1.20        2.00        13.5          78       990.8         0.0        -1.0
02/02/2019 11:20         118         151        1.30        2.00        13.6          79       990.8         0.0        -1.0
02/02/2019 11:30         115         140        1.80        2.50        13.6          80       990.6         0.0        -1.0
02/02/2019 11:40         117         276        1.30        2.20        13.7          80       990.4         0.0        -1.0
02/02/2019 11:50         119         198        1.10        2.10        14.1          79       990.6         0.0        -1.0
